00	116161	815	0	0.63%
01	116354	879	0	0.68%
02	116976	915	2	0.70%
03	111766	941	0	0.76%
04	99244	774	0	0.70%
05	82441	648	0	0.71%
06	69376	868	0	1.12%
07	60383	603	0	0.89%
08	52690	351	0	0.60%
09	53573	307	0	0.52%
10	59715	269	0	0.40%
11	90293	458	0	0.45%
12	131850	705	0	0.47%
13	157858	840	0	0.47%
14	172152	1087	53	0.59%
15	188649	1159	0	0.55%
16	203274	1308	0	0.58%
17	202216	1151	0	0.51%
18	200456	1274	0	0.57%
19	207990	1382	5	0.60%
20	196594	1181	3	0.54%
21	161105	1203	0	0.67%
22	131564	930	2	0.64%
23	117841	852	0	0.65%
