128.159.144.47	524
128.159.144.83	808
128.159.168.162	675
130.103.48.217	553
163.205.16.100	877
163.205.16.21	503
163.205.16.75	762
163.205.16.90	781
163.205.56.150	504
163.206.104.17	591
163.206.104.34	1201
128.159.105.240	746
128.159.121.34	667
128.159.121.41	528
128.159.121.64	760
128.159.129.170	521
128.159.129.88	598
128.159.145.21	760
147.151.1.168	544
147.74.41.186	506
163.205.1.18	691
163.205.1.19	1419
163.205.1.45	2017
163.205.121.3	864
163.206.137.21	2787
163.206.89.4	9697
206.27.25.1	677
128.159.122.107	1153
128.159.122.110	1348
128.159.122.119	510
128.159.122.137	948
128.159.122.14	962
128.159.122.144	956
128.159.122.160	548
128.159.122.180	1680
128.159.122.38	750
128.159.146.40	939
128.159.154.115	530
129.188.154.200	683
130.110.74.81	823
131.235.106.201	666
141.102.82.127	591
163.205.154.11	816
163.205.154.17	524
163.205.162.112	582
163.205.18.20	935
163.205.2.105	1079
163.205.2.204	715
163.205.2.35	660
163.205.26.54	635
163.205.58.29	666
193.132.114.242	881
199.1.50.225	1020
199.201.186.103	1009
199.201.186.105	763
204.179.186.33	514
128.159.123.58	598
152.85.3.3	877
163.205.11.31	1549
163.205.19.20	1252
163.205.3.104	1292
163.205.3.38	550
163.205.3.60	607
198.83.19.44	649
128.159.132.56	848
128.159.140.128	509
134.186.196.66	596
140.229.116.37	1166
159.142.92.108	851
163.185.36.150	709
163.205.12.100	867
163.205.12.102	513
163.205.12.166	981
163.205.12.176	712
163.205.156.16	2963
163.205.156.61	1008
163.205.180.17	611
163.206.140.4	1211
163.234.140.22	666
128.217.61.15	627
128.217.61.184	564
128.217.61.57	724
128.217.61.98	543
165.103.5.123	563
193.178.53.180	507
198.133.29.18	4204
204.62.245.32	567
128.217.62.1	1598
128.217.62.2	1229
128.217.62.224	693
128.217.62.81	582
139.169.174.102	613
163.205.166.15	606
192.112.22.119	532
128.159.111.141	1296
128.159.135.38	593
128.159.135.73	629
128.159.135.97	515
128.159.151.155	528
128.159.63.159	561
147.147.191.43	508
163.205.23.125	547
163.205.23.133	778
163.205.23.71	830
163.205.23.72	586
163.205.23.76	835
163.205.23.93	964
192.112.239.200	518
198.14.55.105	553
